frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
4,player,1,player,home,1.0,0.83279,640,430,690,538,665.0,538.0,6265.8335,3762.6018,187.3547,124.1905,6,4,0.38423,0.42581,0.60325
4,player,2,player,away,1.0,0.83105,1171,418,1218,536,1194.5,536.0,7140.7861,3899.7678,211.5617,128.2075,6,4,0.4596,0.37844,0.42665
4,player,3,player,home,1.0,0.81756,824,211,859,266,841.5,266.0,6690.9995,502.9795,199.1177,28.7301,6,4,0.36334,0.40528,0.57866
4,player,4,player,away,0.9379,0.79957,1103,255,1138,335,1120.5,335.0,7179.0986,1613.2113,212.6217,61.244,6,4,0.39584,0.35127,0.3756
4,player,5,player,home,1.0,0.81378,1026,222,1061,294,1043.5,294.0,7069.7729,1022.2756,209.5971,43.9381,6,4,0.4179,0.45977,0.61081
4,player,6,player,away,1.0,0.81336,284,298,321,384,302.5,384.0,5593.7441,1854.2056,168.7603,68.3017,6,4,0.51663,0.47086,0.45141
4,player,7,player,home,1.0,0.80411,1184,244,1215,330,1199.5,330.0,7329.375,1586.9354,216.7794,60.4745,6,4,0.41568,0.44517,0.62536
4,player,8,player,home,1.0,0.80222,586,241,619,314,602.5,314.0,6190.2764,1059.6787,185.2643,45.0334,6,4,0.38289,0.42989,0.60387
4,player,9,player,home,0.8356,0.78847,1082,202,1106,261,1094.0,261.0,7197.8652,580.6359,213.1409,31.0043,6,4,0.48668,0.47158,0.5992
4,player,10,player,home,0.6286,0.77056,450,235,481,312,465.5,312.0,5910.9614,954.382,177.5366,41.9498,6,4,0.46704,0.44396,0.49095
5,player,1,player,home,1.0,0.83799,638,430,688,538,663.0,538.0,6262.4287,3761.9912,187.2605,124.1726,6,4,0.38824,0.42924,0.60773
5,player,2,player,away,1.0,0.82478,1170,417,1216,534,1193.0,534.0,7139.8921,3879.8464,211.537,127.6241,6,4,0.46396,0.37468,0.42856
5,player,3,player,home,1.0,0.80688,823,211,859,266,841.0,266.0,6689.9873,502.6763,199.0896,28.7212,6,4,0.37183,0.4045,0.56393
5,player,4,player,away,0.9379,0.79195,1100,255,1135,335,1117.5,335.0,7173.5527,1611.7466,212.4683,61.2011,6,4,0.39413,0.35175,0.37411
5,player,5,player,home,1.0,0.81025,1023,223,1058,294,1040.5,294.0,7063.9961,1020.6313,209.4372,43.8899,6,4,0.42214,0.46258,0.61739
5,player,6,player,away,1.0,0.8228,282,298,319,384,300.5,384.0,5589.7588,1853.244,168.65,68.2736,6,4,0.50234,0.44854,0.44101
5,player,7,player,home,1.0,0.82082,1182,245,1212,330,1197.0,330.0,7324.7866,1585.7124,216.6524,60.4387,6,4,0.39449,0.42542,0.62115
5,player,8,player,home,1.0,0.79431,584,241,617,314,600.5,314.0,6186.2397,1058.5708,185.1526,45.001,6,4,0.38651,0.43267,0.60742
5,player,9,player,home,0.8356,0.79094,1080,202,1104,261,1092.0,261.0,7193.9453,579.4514,213.0325,30.9696,6,4,0.47883,0.45885,0.58874
5,player,10,player,home,0.6286,0.7682,447,235,478,312,462.5,312.0,5904.7764,952.6782,177.3655,41.8999,6,4,0.43733,0.39973,0.45094
6,player,1,player,home,1.0,0.84192,636,431,686,539,661.0,539.0,6258.8379,3771.498,187.1612,124.451,6,4,0.38866,0.42984,0.60889
6,player,2,player,away,1.0,0.83251,1169,416,1214,533,1191.5,533.0,7138.2412,3869.6467,211.4913,127.3254,6,4,0.45756,0.36929,0.42015
6,player,3,player,home,1.0,0.79282,824,210,860,266,842.0,266.0,6692.0117,503.2827,199.1457,28.739,6,4,0.37421,0.40987,0.60609
6,player,4,player,away,0.9379,0.79263,1098,256,1132,334,1115.0,334.0,7169.8237,1597.533,212.3651,60.7849,6,4,0.41285,0.38358,0.38459
6,player,5,player,home,1.0,0.8099,1021,223,1056,294,1038.5,294.0,7060.144,1019.5349,209.3307,43.8578,6,4,0.42422,0.46311,0.62953
6,player,6,player,away,1.0,0.82942,280,298,317,384,298.5,384.0,5585.772,1852.2822,168.5397,68.2454,6,4,0.50353,0.45134,0.44217
6,player,7,player,home,1.0,0.8383,1178,245,1209,331,1193.5,331.0,7317.356,1596.9723,216.4468,60.7685,6,4,0.38731,0.41475,0.62814
6,player,8,player,home,1.0,0.80697,581,242,614,314,597.5,314.0,6180.1826,1056.9084,184.9851,44.9523,6,4,0.38065,0.42731,0.60942
6,player,9,player,home,0.8356,0.78744,1078,202,1103,261,1090.5,261.0,7191.0044,578.5627,212.9511,30.9436,6,4,0.49867,0.47143,0.60443
6,player,10,player,home,0.6286,0.78571,445,235,476,312,460.5,312.0,5900.6509,951.5419,177.2513,41.8666,6,4,0.45439,0.42596,0.47531
7,player,1,player,home,1.0,0.84567,634,431,683,538,658.5,538.0,6254.7642,3760.6169,187.0485,124.1324,6,4,0.38903,0.43016,0.60855
7,player,2,player,away,1.0,0.83344,1168,416,1214,532,1191.0,532.0,7138.1934,3859.7236,211.49,127.0348,6,4,0.45965,0.3775,0.41803
7,player,3,player,home,1.0,0.78028,825,210,861,265,843.0,265.0,6694.6133,489.013,199.2176,28.3211,6,4,0.41967,0.39605,0.56959
7,player,4,player,away,0.9379,0.79534,1095,256,1129,334,1112.0,334.0,7164.27,1596.0635,212.2115,60.7419,6,4,0.41258,0.36871,0.38526
7,player,5,player,home,1.0,0.80962,1018,223,1053,295,1035.5,295.0,7053.5264,1031.8137,209.1476,44.2174,6,4,0.41516,0.45828,0.61024
7,player,6,player,away,1.0,0.82272,277,298,315,384,296.0,384.0,5580.7866,1851.0797,168.4018,68.2102,6,4,0.49333,0.43654,0.43538
7,player,7,player,home,1.0,0.83194,1175,245,1206,331,1190.5,331.0,7311.8491,1595.5072,216.2945,60.7256,6,4,0.38779,0.41584,0.63426
7,player,8,player,home,1.0,0.80187,578,242,611,315,594.5,315.0,6173.9717,1069.3573,184.8132,45.3169,6,4,0.37703,0.42276,0.60632
7,player,9,player,home,0.8356,0.81327,1075,201,1100,262,1087.5,262.0,7184.1606,591.3768,212.7618,31.3189,6,4,0.48986,0.45333,0.59488
7,player,10,player,home,0.6286,0.77854,442,235,473,312,457.5,312.0,5894.4609,949.8368,177.0801,41.8166,6,4,0.43648,0.40368,0.44618
8,player,1,player,home,1.0,0.84201,632,431,681,538,656.5,538.0,6251.3564,3760.0061,186.9542,124.1145,6,4,0.38703,0.42804,0.60857
8,player,2,player,away,1.0,0.82389,1167,415,1212,532,1189.5,532.0,7135.7856,3859.2866,211.4234,127.022,6,4,0.47077,0.39057,0.43367
8,player,3,player,home,1.0,0.77194,826,207,864,265,845.0,265.0,6698.6646,490.2284,199.3297,28.3567,6,4,0.34658,0.38508,0.58663
8,player,4,player,away,0.9379,0.80707,1092,256,1126,334,1109.0,334.0,7158.7134,1594.5934,212.0577,60.6988,6,4,0.40722,0.3761,0.38068
8,player,5,player,home,1.0,0.80479,1016,222,1051,295,1033.5,295.0,7049.6738,1030.7192,209.041,44.1853,6,4,0.41627,0.45472,0.61548
8,player,6,player,away,1.0,0.81454,275,298,312,384,293.5,384.0,5575.7998,1849.8766,168.2638,68.175,6,4,0.46658,0.40866,0.41756
8,player,7,player,home,1.0,0.83572,1172,245,1203,331,1187.5,331.0,7306.3398,1594.0414,216.1421,60.6826,6,4,0.38222,0.41091,0.63188
8,player,8,player,home,1.0,0.79643,575,241,609,315,592.0,315.0,6168.9238,1067.9745,184.6736,45.2764,6,4,0.37821,0.42607,0.60253
8,player,9,player,home,0.8356,0.81974,1072,201,1098,262,1085.0,262.0,7179.2593,589.8986,212.6262,31.2756,6,4,0.50924,0.47087,0.61291
8,player,10,player,home,0.6286,0.77511,439,235,469,312,454.0,312.0,5887.2358,947.8466,176.8802,41.7584,6,4,0.44333,0.41025,0.45396
9,player,1,player,home,1.0,0.83745,630,431,679,538,654.5,538.0,6247.9478,3759.395,186.8599,124.0966,6,4,0.39392,0.43308,0.61846
9,player,2,player,away,1.0,0.8235,1165,415,1211,533,1188.0,533.0,7132.626,3868.6299,211.336,127.2956,6,4,0.47987,0.3959,0.43843
9,player,3,player,home,1.0,0.73209,827,205,866,264,846.5,264.0,6702.2856,476.2451,199.4299,27.9472,6,4,0.33591,0.384,0.57719
9,player,4,player,away,0.9379,0.79424,1090,257,1123,334,1106.5,334.0,7154.0815,1593.3678,211.9296,60.6629,6,4,0.40568,0.3718,0.37882
9,player,5,player,home,1.0,0.78343,1014,222,1049,295,1031.5,295.0,7045.8203,1029.6244,208.9344,44.1533,6,4,0.41698,0.45553,0.59874
9,player,6,player,away,1.0,0.80955,272,299,310,384,291.0,384.0,5570.8115,1848.6732,168.1258,68.1397,6,4,0.46328,0.4075,0.41821
9,player,7,player,home,1.0,0.83436,1168,245,1200,331,1184.0,331.0,7299.9092,1592.3306,215.9642,60.6325,6,4,0.37437,0.40453,0.63963
9,player,8,player,home,1.0,0.81114,573,242,607,315,590.0,315.0,6164.8843,1066.8679,184.5618,45.244,6,4,0.38164,0.42974,0.60426
9,player,9,player,home,0.8356,0.81073,1069,203,1095,262,1082.0,262.0,7173.376,588.1239,212.4634,31.2236,6,4,0.49819,0.45538,0.59606
9,player,10,player,home,0.6286,0.76868,436,235,466,312,451.0,312.0,5881.04,946.14,176.7088,41.7084,6,4,0.4361,0.39684,0.44739
10,player,1,player,home,1.0,0.84214,628,431,677,538,652.5,538.0,6313.7593,3732.4309,188.6807,123.3069,6,4,0.394,0.43272,0.62032
10,player,2,player,away,1.0,0.83021,1164,415,1209,532,1186.5,532.0,7200.1763,3882.5273,213.2049,127.7026,6,4,0.4832,0.39565,0.44002
10,player,3,player,home,1.0,0.76806,828,204,866,264,847.0,264.0,6747.0664,557.0976,200.6688,30.315,6,4,0.32078,0.36402,0.55662
10,player,4,player,away,0.9379,0.79716,1087,257,1120,335,1103.5,335.0,7178.5356,1669.171,212.6062,62.8829,6,4,0.40466,0.37739,0.37951
