split,game,half_file,tracker_mode,run_dir,frames_processed,goal_events_count,field_calibration_refresh_successes,field_registered_ratio,home_tracks,away_tracks,team_cluster_distance,player_tracker_backend,raw_unique_player_track_ids,unique_player_track_ids,tracklet_merges_applied,stitched_track_id_reduction,average_track_length,raw_average_track_length,longest_track_length,player_track_churn_ratio,raw_player_track_churn_ratio,average_player_detections_per_frame,ball_rows,unique_ball_track_ids,average_ball_detections_per_frame,overlay_video,entropy_timeseries_csv,goal_events_csv
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_bytetrack,300,0,26,0.8761,13,11,0.4875,none,24,24,0,0.0,106.2083,106.2083,200,0.08,0.08,8.5033,211,12,0.7033,/runs/local_001_e30c211f82_bytetrack/outputs/overlay.mp4,/runs/local_001_e30c211f82_bytetrack/outputs/entropy_timeseries.csv,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_20260308/runs/local_001_e30c211f82_hybrid_reid,300,0,26,0.8769,33,29,0.4851,torchvision_resnet18_imagenet@mps,66,63,3,0.045455,41.7619,39.8636,130,0.21,0.22,8.77,211,12,0.7033,/runs/local_001_e30c211f82_hybrid_reid/outputs/overlay.mp4,/runs/local_001_e30c211f82_hybrid_reid/outputs/entropy_timeseries.csv,
