frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
10,player,6,home,8783.2051,1651.776,257.002,62.3734,648.0,195.0
10,player,7,away,6515.8857,6670.0391,194.2728,209.3369,806.5,395.0
10,player,9,away,6461.4814,5071.9863,192.7677,162.5367,673.0,308.0
10,player,10,away,8913.1641,4826.062,260.5975,155.3347,896.0,292.0
10,player,11,away,9564.376,5923.812,278.6144,187.4831,1220.5,370.0
10,player,12,away,8839.7617,2529.5439,258.5667,88.0795,696.0,213.0
10,player,13,away,8892.7676,3622.032,260.0332,120.0738,774.0,243.0
10,player,14,home,10849.3652,3826.9348,314.1658,126.0745,1041.0,229.0
10,player,15,away,11140.2188,3714.9443,322.2127,122.7948,1072.0,220.0
11,player,4,away,5903.4297,2832.1743,177.3282,96.9422,547.0,243.0
11,player,6,home,8659.4111,1687.1677,253.577,63.4099,642.5,197.0
11,player,7,away,6422.855,6713.3911,191.699,210.6065,800.0,397.0
11,player,9,away,6370.3525,5119.103,190.2464,163.9166,669.0,310.0
11,player,10,away,8836.1348,4879.9854,258.4664,156.9139,892.5,295.0
11,player,11,away,9519.9873,5949.9316,277.3863,188.248,1216.0,372.0
11,player,12,away,8730.1543,2566.3369,255.5343,89.157,690.5,215.0
11,player,13,away,8809.418,3661.0725,257.7272,121.2171,769.5,245.0
11,player,14,home,10806.9639,3836.6311,312.9927,126.3585,1035.5,230.0
11,player,15,away,11112.4121,3728.6177,321.4434,123.1952,1069.5,221.0
12,player,4,away,5732.916,2878.2434,172.6107,98.2914,541.0,245.0
12,player,6,home,8568.6582,1689.5624,251.0662,63.48,637.5,198.0
12,player,7,away,6323.7939,6758.0713,188.9583,211.9149,793.0,399.0
12,player,9,away,6271.9155,5166.4536,187.523,165.3033,664.5,312.0
12,player,10,away,8797.1436,4897.2246,257.3876,157.4187,889.5,296.0
12,player,11,away,9473.1992,5976.4453,276.0918,189.0245,1211.0,374.0
12,player,12,away,8624.7363,2605.8579,252.6177,90.3144,685.5,217.0
12,player,13,away,8703.9873,3725.1643,254.8103,123.0941,765.0,248.0
12,player,14,home,10748.5859,3865.1995,311.3775,127.1951,1030.5,232.0
12,player,15,away,11082.4619,3741.5544,320.6148,123.5741,1066.5,222.0
13,player,4,away,5528.3145,2917.5193,166.95,99.4416,533.5,247.0
13,player,6,home,8460.8691,1736.0474,248.084,64.8414,633.5,200.0
13,player,7,away,6214.2778,6818.7681,185.9284,213.6925,786.5,402.0
13,player,9,away,6165.8574,5214.1499,184.5887,166.7001,659.5,314.0
13,player,10,away,8740.7031,4933.062,255.8261,158.4682,886.5,298.0
13,player,11,away,9443.0195,5990.6333,275.2569,189.44,1207.0,375.0
13,player,12,away,8512.543,2643.5449,249.5137,91.4181,680.0,219.0
13,player,13,away,8619.4287,3764.8264,252.4709,124.2556,760.5,250.0
13,player,14,home,10674.3467,3912.6909,309.3236,128.5859,1026.0,235.0
13,player,15,away,11034.7158,3772.198,319.2938,124.4715,1063.5,224.0
14,player,4,away,5350.8257,2965.3296,162.0395,100.8418,527.5,249.0
14,player,6,home,8380.5703,1745.7426,245.8624,65.1253,629.5,201.0
14,player,7,away,6098.6172,6880.9253,182.7284,215.5128,779.5,405.0
14,player,9,away,6023.8369,5262.3423,180.6595,168.1115,652.0,316.0
14,player,10,away,8680.4111,4968.8242,254.158,159.5156,883.0,300.0
14,player,11,away,9398.0742,6017.0703,274.0134,190.2142,1202.5,377.0
14,player,12,away,8404.7461,2683.9343,246.5313,92.6009,675.0,221.0
14,player,13,away,8543.7354,3806.8911,250.3767,125.4875,757.0,252.0
14,player,14,home,10608.1133,3939.55,307.4911,129.3725,1019.5,237.0
14,player,15,away,11004.5059,3785.2686,318.458,124.8543,1060.5,225.0
