split,game,half_file,baseline_tracker_mode,candidate_tracker_mode,baseline_unique_player_track_ids,candidate_unique_player_track_ids,unique_player_track_ids_delta,baseline_average_track_length,candidate_average_track_length,average_track_length_delta,baseline_tracklet_merges_applied,candidate_tracklet_merges_applied,tracklet_merges_delta,baseline_stitched_track_id_reduction,candidate_stitched_track_id_reduction,stitched_track_id_reduction_delta,candidate_wins_fewer_ids,candidate_wins_longer_tracks
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,hybrid_reid,89,40,-49,164.7753,164.7753,0.0,0,49,49,0.0,0.550562,0.550562,1,0
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,palace_arsenal_goal_h1_45s.mp4,bytetrack,hybrid_reid,102,80,-22,66.6667,66.6667,0.0,0,22,22,0.0,0.215686,0.215686,1,0
