second,seconds,home_player_count,away_player_count,home_centroid_x_cm,home_centroid_y_cm,away_centroid_x_cm,away_centroid_y_cm,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,home_width_axis_cm,away_width_axis_cm,home_hull_area_cm2,away_hull_area_cm2,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,seconds_to_next_goal,next_goal_team,goal_in_next_30s,goal_in_next_60s
19,19.0,4.36,8.0,5136.7201,3310.882,5024.2218,3455.0128,323.7665,101.6744,428.5265,108.5164,347.0214,155.1119,24109.0352,22461.1431,188.7059,0.199615,227.066315,298.801872,295.724529,290.127912,344.386946,0.094044,-0.034991,,,0,0
20,20.0,4.0,7.6,3037.9466,2843.208,2966.1284,2850.4004,190.81,731.74,166.8075,429.1989,318.832,1112.1442,28219.8287,468641.6046,234.0652,0.236246,230.106349,377.383575,320.559994,329.745542,346.213009,0.091787,0.117044,,,0,0
21,21.0,3.64,7.8,2949.852,2159.5237,2736.9168,2906.3105,1301.9521,1401.3154,1712.8842,2269.1188,1708.4151,2222.7639,2335926.0063,6207107.1246,949.0533,0.40156,325.254578,461.078475,463.792239,559.626444,426.737108,0.107992,0.873237,,,0,0
22,22.0,3.8,8.08,1830.9877,1891.6136,2483.1919,2405.5828,1349.0637,1501.0606,1556.6587,2105.935,2274.806,2528.7719,2613031.3738,6412505.8575,851.8687,0.516154,322.249109,473.262978,476.468073,579.948857,435.140537,0.115639,0.962935,,,0,0
23,23.0,4.0,8.04,1211.5722,2241.3378,1598.7995,2631.957,1085.3244,1110.3781,1535.2693,1552.0715,1707.2372,2156.1904,2058019.9715,3911347.3873,550.1262,0.449098,329.560735,464.087368,414.240842,577.050486,420.318537,0.115027,0.857868,,,0,0
24,24.0,4.08,7.76,655.0027,1932.0026,971.0987,2117.8828,1001.1413,1110.4149,1209.655,1282.2486,1667.7475,2111.2829,1250790.2452,3409141.2198,373.1804,0.283302,335.802246,417.682311,434.642024,546.327734,395.981262,0.113515,0.76756,,,0,0
25,25.0,5.24,7.48,1153.8825,2118.2289,735.161,2232.9786,1597.0332,1116.2235,2853.6898,1125.4741,1122.946,2223.0141,3523859.7694,3088029.3085,493.8812,0.325114,322.758665,348.385137,511.550406,478.668174,344.56466,0.092022,0.536629,,,0,0
26,26.0,5.68,8.04,1409.1175,2015.9362,717.8431,2166.2193,1626.0725,1069.2666,3116.9041,888.1944,1616.345,2245.3725,4319175.3738,2536463.4279,735.1145,0.372665,320.653047,345.36568,530.722345,470.875415,358.508107,0.095483,0.583923,,,0,0
27,27.0,5.72,8.0,1666.0841,2217.6726,891.6642,2348.4446,1564.7571,967.4482,3073.1969,885.4648,1814.0897,2142.897,4535364.1038,1872986.9875,832.7194,0.380265,310.696832,352.827808,524.766873,463.180603,357.68169,0.093159,0.556356,,,0,0
28,28.0,6.04,8.0,1381.0814,1974.0718,988.2837,2035.923,1389.8395,980.3385,2534.9158,680.8252,1926.6776,2337.6862,4168483.2463,1558189.2979,400.5712,0.358181,273.272298,327.276749,528.84014,450.230668,350.166248,0.0855,0.431082,,,0,0
