split,game,half_file,run_dir,frames_processed,goal_events_count,field_calibration_refresh_successes,field_registered_ratio,home_tracks,away_tracks,team_cluster_distance,overlay_video,entropy_timeseries_csv,goal_events_csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,1_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/001_9994893937_1,67500,1,4678,0.9147,1245,1503,0.1989,/runs/001_9994893937_1/outputs/overlay.mp4,/runs/001_9994893937_1/outputs/entropy_timeseries.csv,/runs/001_9994893937_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Chelsea 1 - 1 Burnley,2_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/001_9994893937_2,67500,1,4201,0.9181,1210,1597,0.2096,/runs/001_9994893937_2/outputs/overlay.mp4,/runs/001_9994893937_2/outputs/entropy_timeseries.csv,/runs/001_9994893937_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,1_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/002_a1c4711625_1,69175,2,3279,0.9016,2460,2481,0.3514,/runs/002_a1c4711625_1/outputs/overlay.mp4,/runs/002_a1c4711625_1/outputs/entropy_timeseries.csv,/runs/002_a1c4711625_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Crystal Palace 1 - 2 Arsenal,2_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/002_a1c4711625_2,74350,1,3530,0.9227,3111,2343,0.4172,/runs/002_a1c4711625_2/outputs/overlay.mp4,/runs/002_a1c4711625_2/outputs/entropy_timeseries.csv,/runs/002_a1c4711625_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United,1_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/003_680efae59f_1,68125,2,3809,0.9094,2590,1835,0.2897,/runs/003_680efae59f_1/outputs/overlay.mp4,/runs/003_680efae59f_1/outputs/entropy_timeseries.csv,/runs/003_680efae59f_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-21 - 18-00 Swansea 2 - 1 Manchester United,2_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/003_680efae59f_2,73425,1,4082,0.9118,2802,1678,0.2842,/runs/003_680efae59f_2/outputs/overlay.mp4,/runs/003_680efae59f_2/outputs/entropy_timeseries.csv,/runs/003_680efae59f_2/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool,1_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/004_fd9d17309a_1,67500,1,3906,0.8966,1580,1529,0.2975,/runs/004_fd9d17309a_1/outputs/overlay.mp4,/runs/004_fd9d17309a_1/outputs/entropy_timeseries.csv,/runs/004_fd9d17309a_1/outputs/goal_events.csv
train,england_epl/2014-2015/2015-02-22 - 19-15 Southampton 0 - 2 Liverpool,2_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/004_fd9d17309a_2,70025,1,3612,0.9035,1629,1458,0.3073,/runs/004_fd9d17309a_2/outputs/overlay.mp4,/runs/004_fd9d17309a_2/outputs/entropy_timeseries.csv,/runs/004_fd9d17309a_2/outputs/goal_events.csv
train,england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,1_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/005_109355c3e7_1,71125,3,3608,0.872,2584,2718,0.2998,/runs/005_109355c3e7_1/outputs/overlay.mp4,/runs/005_109355c3e7_1/outputs/entropy_timeseries.csv,/runs/005_109355c3e7_1/outputs/goal_events.csv
train,england_epl/2015-2016/2015-08-08 - 19-30 Chelsea 2 - 2 Swansea,2_224p.mkv,/Users/davidmontgomery/football_pose_workbench/backend/experiments/soccernet_train_20_goalaligned_v1_20260308_002646/runs/005_109355c3e7_2,72850,1,3352,0.8979,2748,2594,0.3159,/runs/005_109355c3e7_2/outputs/overlay.mp4,/runs/005_109355c3e7_2/outputs/entropy_timeseries.csv,/runs/005_109355c3e7_2/outputs/goal_events.csv
