epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9914,2.24315,4.06562,1.08986,0.00031,0.00231,0.00016,5e-05,1.49213,3.58723,0.83461,0.000225,0.000225,0.000225
2,52.7171,1.70383,3.43715,0.89105,0.02309,0.18199,0.02505,0.01183,1.50228,3.01476,0.83978,0.000370925,0.000370925,0.000370925
3,73.3603,1.65144,2.73205,0.85972,0.67769,0.13284,0.14817,0.06936,1.51271,2.27755,0.83369,0.0004228,0.0004228,0.0004228
4,93.4628,1.64335,2.08422,0.85269,0.67972,0.16227,0.1897,0.09862,1.45994,1.87109,0.82909,0.000380625,0.000380625,0.000380625
5,114.132,1.60173,1.65214,0.8485,0.93424,0.1832,0.20576,0.11388,1.44899,1.62547,0.82917,0.0002444,0.0002444,0.0002444
