split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,4,669.9631,103.7348,275.0509,135.2655,219.9823,0.125587,179.655223,387.137145,213.487458,283.750581,206.444989,0.084272,0.1572,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,5,1050.4101,232.856,504.133,246.7931,317.7821,0.206969,219.813585,335.533963,216.606391,249.305975,184.715968,0.083694,0.048471,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,6,236.0539,462.4268,201.9645,359.0214,395.1743,0.085422,318.904017,317.873431,230.866742,226.459697,166.82867,0.090002,0.207958,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,7,1055.6352,1556.0716,665.0789,1436.7577,1319.2387,0.429357,390.429336,428.697916,264.04498,348.070633,275.005195,0.126279,1.386026,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,8,1101.0276,1570.6682,836.7207,1280.6726,1551.9259,0.441353,347.299726,376.935252,252.49458,324.072441,269.715454,0.111993,1.044651,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h1_10m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_001_45fe128bd2_hybrid_reid,9,1070.638,1551.3985,773.9224,1133.0365,1558.2443,0.445613,312.087493,337.194629,231.417214,304.468394,240.449116,0.100023,0.649174,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,0,1683.1345,2606.9895,1674.7788,4687.3071,2463.6452,0.602706,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,1,2297.8688,2250.5658,3253.0461,3366.0525,1574.5772,0.632308,614.734272,356.423662,1578.267285,1321.254648,889.068035,0.029601,0.473637,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,2,1970.5652,1655.8658,1738.2359,1542.1725,272.502,0.529771,471.018918,475.561853,1546.53875,1572.567334,1095.571592,0.066069,1.080583,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,3,1549.1014,1332.3456,1112.2754,1304.6656,470.3963,0.363821,454.500557,424.881271,1239.679342,1127.547161,796.345833,0.099363,0.475422,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,4,1292.922,1591.7006,778.5991,1873.6778,625.2198,0.478916,404.920268,383.499682,1013.178574,987.913418,635.965237,0.103296,-0.005626,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,5,1258.4605,1471.9083,712.8331,1454.2264,757.2648,0.388696,330.828504,330.758196,823.696066,874.22102,535.18119,0.100681,-0.511161,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,6,1079.1439,1390.1549,1057.0451,1097.5217,1040.7058,0.389932,305.576527,289.257399,743.782054,787.968307,493.224489,0.084106,-0.895629,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,7,1480.9124,2779.8262,2518.9007,3384.1489,1584.637,0.54641,319.318241,446.459383,846.36399,1002.062441,500.468301,0.094445,-0.272869,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,8,1357.2057,1443.5414,2279.9123,1991.4775,1381.9532,0.437642,294.866796,557.687558,770.442043,1050.888564,463.245233,0.096236,-0.11578,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_bytetrack,9,1066.099,1780.6238,1930.3669,2334.5599,2420.3603,0.493609,294.449012,533.175869,723.675747,972.243442,527.152111,0.091761,-0.228576,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,0,1683.1345,2606.9895,1674.7788,4687.3071,2463.6452,0.602706,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_720p,chelsea_burnley_h2_20m.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_720p_suite_20260308/runs/local_002_97da42091a_hybrid_reid,1,2297.8688,2250.5658,3253.0461,3366.0525,1574.5772,0.632308,614.734272,356.423662,1578.267285,1321.254648,889.068035,0.029601,0.473637,0,0,,
