epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1656,2.25747,4.07026,1.09906,0.00103,0.00797,0.00053,0.00016,1.48168,3.5853,0.83207,0.000225,0.000225,0.000225
1,38.2191,2.25747,4.07026,1.09906,0.00103,0.00797,0.00053,0.00016,1.48168,3.5853,0.83207,0.000225,0.000225,0.000225
2,57.9439,1.686,3.40812,0.88713,0.0231,0.18567,0.03944,0.01615,1.58907,2.9334,0.84709,0.000453342,0.000453342,0.000453342
3,79.6311,1.66795,2.42267,0.8536,0.93422,0.14671,0.1762,0.07959,1.63213,1.90907,0.84223,0.00067228,0.00067228,0.00067228
4,102.009,1.59284,1.45309,0.85164,0.95516,0.20838,0.2301,0.12679,1.43382,1.22499,0.83649,0.000881812,0.000881812,0.000881812
5,124.35,1.48269,1.18683,0.84951,0.70304,0.21327,0.23918,0.13594,1.38211,1.12641,0.83671,0.00108194,0.00108194,0.00108194
6,149.078,1.43368,1.09941,0.84292,0.44035,0.30852,0.20817,0.12179,1.30125,1.07995,0.82755,0.00112625,0.00112625,0.00112625
