frame_index,row_type,track_id,class_name,team_label,team_vote_ratio,confidence,x1,y1,x2,y2,anchor_x,anchor_y,field_x_cm,field_y_cm,map_x,map_y,calibration_visible_keypoints,calibration_inliers,color_r,color_g,color_b
3,player,10,player,home,0.5607,0.78133,452,235,483,312,467.5,312.0,5915.084,955.5174,177.6507,41.983,6,4,0.46304,0.42146,0.48342
4,player,1,player,home,0.989,0.83279,642,431,687,538,664.5,538.0,6264.9824,3762.4492,187.3312,124.186,6,4,0.38704,0.42699,0.61192
4,player,2,player,away,0.9877,0.83105,1172,418,1217,535,1194.5,535.0,7141.5405,3890.0308,211.5826,127.9223,6,4,0.45352,0.36763,0.42102
4,player,3,player,home,0.9897,0.81756,820,211,862,266,841.0,266.0,6689.9873,502.6763,199.0896,28.7212,6,4,0.3613,0.39903,0.57242
4,player,5,player,home,1.0,0.81378,1025,222,1061,294,1043.0,294.0,7068.8105,1022.0016,209.5704,43.93,6,4,0.41743,0.4597,0.60707
4,player,6,player,away,0.9898,0.81336,283,298,322,384,302.5,384.0,5593.7441,1854.2056,168.7603,68.3017,6,4,0.51994,0.48026,0.45614
4,player,7,player,home,1.0,0.80411,1183,244,1215,330,1199.0,330.0,7328.4575,1586.6908,216.754,60.4674,6,4,0.41575,0.44533,0.62512
4,player,8,player,home,1.0,0.80222,586,241,619,314,602.5,314.0,6190.2764,1059.6787,185.2643,45.0334,6,4,0.38289,0.42989,0.60387
4,player,4,player,away,0.9941,0.79957,1104,255,1136,335,1120.0,335.0,7178.1743,1612.9672,212.5962,61.2369,6,4,0.38809,0.33799,0.37202
4,player,9,player,home,0.6711,0.78847,1080,202,1107,261,1093.5,261.0,7196.8853,580.3398,213.1138,30.9957,6,4,0.47771,0.46762,0.59467
4,player,10,player,home,0.5607,0.77056,450,235,481,312,465.5,312.0,5910.9614,954.382,177.5366,41.9498,6,4,0.46704,0.44396,0.49095
5,player,1,player,home,0.989,0.83799,640,430,685,539,662.5,539.0,6261.3906,3771.9548,187.2318,124.4644,6,4,0.39085,0.43018,0.61636
