split,game,half_file,tracker_mode,run_dir,frames_processed,goal_events_count,field_calibration_refresh_successes,field_registered_ratio,home_tracks,away_tracks,team_cluster_distance,player_tracker_backend,raw_unique_player_track_ids,unique_player_track_ids,tracklet_merges_applied,stitched_track_id_reduction,average_track_length,raw_average_track_length,longest_track_length,player_track_churn_ratio,raw_player_track_churn_ratio,average_player_detections_per_frame,ball_rows,unique_ball_track_ids,average_ball_detections_per_frame,overlay_video,entropy_timeseries_csv,goal_events_csv
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_bytetrack,250,0,19,0.9952,23,11,0.1889,none,34,34,0,0.0,80.0294,80.0294,250,0.136,0.136,10.884,19,1,0.076,/runs/local_001_a4a87543a9_bytetrack/outputs/overlay.mp4,/runs/local_001_a4a87543a9_bytetrack/outputs/entropy_timeseries.csv,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample,reid_smoke_clip_720p.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_smoke_720p_postbyte_20260308/runs/local_001_a4a87543a9_hybrid_reid,250,0,19,0.9952,17,6,0.1889,torchvision_resnet18_imagenet@mps,34,23,11,0.323529,118.3043,80.0294,250,0.092,0.136,10.884,19,1,0.076,/runs/local_001_a4a87543a9_hybrid_reid/outputs/overlay.mp4,/runs/local_001_a4a87543a9_hybrid_reid/outputs/entropy_timeseries.csv,
