epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7739,2.27854,4.08441,1.10101,0.00065,0.00488,0.00033,7e-05,1.48141,3.57689,0.83424,0.000225,0.000225,0.000225
2,45.3681,1.69342,3.40236,0.88563,0.02305,0.18986,0.03186,0.01327,1.54084,2.92515,0.84259,0.000453342,0.000453342,0.000453342
3,69.7227,1.66042,2.43248,0.85627,0.68685,0.14286,0.17534,0.08633,1.51429,1.8656,0.82987,0.00067228,0.00067228,0.00067228
4,94.4643,1.59236,1.49172,0.84853,0.95687,0.21074,0.23298,0.13042,1.41395,1.19626,0.83343,0.000881812,0.000881812,0.000881812
5,116.302,1.49429,1.18497,0.84945,0.95714,0.2161,0.23977,0.13803,1.3511,1.11806,0.83514,0.00108194,0.00108194,0.00108194
