frame_index,row_type,track_id,team_label,field_x_cm,field_y_cm,map_x,map_y,source_x,source_y
60,player,17,home,10273.4365,3508.999,298.2317,116.7635,1049.5,337.0
60,player,18,away,8720.0059,3666.7607,255.2535,121.3837,758.5,374.0
60,player,19,away,6498.0322,2477.812,193.7789,86.5645,233.5,344.0
60,player,20,home,7922.8306,1307.9775,233.1983,52.3051,210.5,278.0
60,player,21,away,9240.3633,1710.9525,269.6501,64.1065,417.0,268.0
60,player,22,home,8792.959,3018.5125,257.2719,102.3993,614.5,336.0
60,player,23,away,10303.1338,1329.6064,299.0534,52.9385,487.0,229.0
60,player,24,home,10238.5859,1173.946,297.2675,48.3798,448.5,225.0
60,player,25,away,10694.9238,3019.7478,309.8929,102.4355,987.5,297.0
60,player,26,away,9881.0303,4185.7666,287.3752,136.5832,1194.0,393.0
60,player,27,away,10618.1533,3472.1521,307.7689,115.6845,1126.5,327.0
60,player,28,away,9349.0527,2688.3042,272.6571,92.7289,630.0,309.0
60,player,29,away,10338.4229,3830.5242,300.0297,126.1796,1185.5,358.0
60,ball,-1,,8229.0576,-303.2147,241.6706,14.0,44.5,223.5
61,player,16,home,8216.4551,-69.9679,241.3219,14.0,68.5,230.0
61,player,17,home,10279.7285,3495.7847,298.4058,116.3766,1046.5,336.0
61,player,18,away,8705.8848,3663.4919,254.8628,121.288,755.0,374.0
61,player,19,away,6459.543,2490.3188,192.714,86.9308,231.5,345.0
61,player,20,home,7910.373,1301.8301,232.8537,52.125,208.5,278.0
61,player,21,away,9283.6104,1683.0308,270.8466,63.2888,417.5,266.0
61,player,22,home,8865.1064,2984.6133,259.2679,101.4065,618.5,333.0
61,player,23,away,10295.8213,1324.5736,298.8511,52.7911,485.0,229.0
61,player,24,home,10196.9609,1200.882,296.1159,49.1687,448.0,227.0
61,player,25,away,10708.4863,3008.3896,310.2681,102.1028,987.0,296.0
61,player,26,away,9868.5703,4183.374,287.0304,136.5131,1189.5,393.0
61,player,27,away,10615.6504,3471.2898,307.6997,115.6592,1125.5,327.0
61,player,28,away,9429.1543,2639.5901,274.8733,91.3023,632.0,305.0
61,player,30,home,10155.0381,4025.0676,294.9561,131.877,1209.5,376.0
62,player,16,home,8203.3027,-42.507,240.958,14.0,70.5,231.0
62,player,17,home,10288.7891,3483.4265,298.6565,116.0146,1044.5,335.0
62,player,18,away,8697.791,3661.6187,254.6389,121.2331,753.0,374.0
62,player,19,away,6424.5845,2503.9487,191.7468,87.3299,230.0,346.0
62,player,20,home,7921.8599,1278.8356,233.1715,51.4516,206.5,277.0
62,player,21,away,9326.8066,1655.1418,272.0417,62.472,418.0,264.0
62,player,22,home,8914.3955,2962.583,260.6316,100.7614,621.5,331.0
62,player,23,away,10278.2441,1339.6661,298.3648,53.2331,485.5,230.0
62,player,24,home,10178.9961,1216.3468,295.6189,49.6216,448.5,228.0
62,player,25,away,10709.7939,3008.9578,310.3043,102.1195,987.5,296.0
62,player,26,away,9930.4727,4131.8374,288.7431,135.0038,1187.0,388.0
62,player,27,away,10599.1357,3480.6282,307.2428,115.9327,1124.5,328.0
62,player,30,home,10145.3828,4035.8738,294.6889,132.1934,1211.0,377.0
63,player,16,home,8133.9829,19.3515,239.0402,14.5667,72.0,234.0
63,player,17,home,10297.8652,3471.0479,298.9076,115.6521,1042.5,334.0
63,player,18,away,8721.877,3634.6147,255.3053,120.4423,750.5,372.0
63,player,19,away,6378.5044,2514.3755,190.472,87.6353,227.0,347.0
63,player,20,home,7960.4922,1240.5023,234.2403,50.329,205.0,275.0
63,player,21,away,9331.2676,1657.5668,272.1651,62.543,419.0,264.0
63,player,22,home,8955.1299,2937.802,261.7586,100.0356,622.5,329.0
63,player,23,away,10280.0791,1340.9207,298.4155,53.2698,486.0,230.0
63,player,24,home,10159.1221,1230.4877,295.069,50.0357,448.5,229.0
63,player,25,away,10709.7939,3008.9578,310.3043,102.1195,987.5,296.0
63,player,26,away,9967.6523,4100.8838,289.7717,134.0973,1185.5,385.0
63,player,27,away,10566.0527,3499.3354,306.3275,116.4805,1122.5,330.0
63,player,30,home,10119.5195,4055.9963,293.9734,132.7827,1211.5,379.0
63,player,32,away,11510.6602,3189.905,332.4616,107.4186,1273.0,285.0
63,player,28,away,9073.4014,2901.3105,265.0308,98.967,633.5,325.0
64,player,16,home,8127.6909,51.0541,238.8661,15.4952,75.0,235.0
64,player,17,home,10292.3623,3469.2529,298.7554,115.5996,1040.5,334.0
64,player,18,away,8761.1279,3594.7273,256.3912,119.2742,747.5,369.0
64,player,19,away,6360.0615,2508.9629,189.9617,87.4768,224.5,347.0
64,player,20,home,7968.9644,1215.7977,234.4747,49.6055,202.5,274.0
64,player,21,away,9335.7227,1659.9885,272.2883,62.6139,420.0,264.0
64,player,22,home,8970.292,2962.145,262.1781,100.7485,630.5,330.0
64,player,23,away,10241.2627,1368.5892,297.3416,54.0801,486.0,232.0
64,player,24,home,10162.9512,1233.1232,295.175,50.1129,449.5,229.0
64,player,25,away,10667.8115,3042.4541,309.1428,103.1004,988.5,299.0
64,player,26,away,9973.2227,4089.124,289.9258,133.7529,1182.5,384.0
64,player,27,away,10564.7871,3498.9097,306.2924,116.4681,1122.0,330.0
64,player,30,home,10107.249,4066.2014,293.6339,133.0816,1212.0,380.0
64,player,32,away,11503.7666,3186.6663,332.2709,107.3238,1269.5,285.0
64,player,34,away,9351.8193,2648.9666,272.7337,91.5769,621.5,307.0
65,player,16,home,8137.7329,57.6941,239.1439,15.6896,76.5,235.0
65,player,17,home,10288.2285,3467.9045,298.641,115.5601,1039.0,334.0
65,player,18,away,8768.1973,3579.9316,256.5868,118.8409,745.0,368.0
65,player,19,away,6317.3491,2520.5293,188.78,87.8155,222.0,348.0
65,player,20,home,7983.6836,1194.1844,234.8819,48.9725,201.0,273.0
65,player,21,away,9328.6504,1681.7345,272.0927,63.2508,423.0,265.0
